brand,phone_name,phone_price,phone_image,available_status,average_rating,battery_rating,camera_rating,design_rating,performance_rating,connectivity_rating,user_rating,cpu,density,diagonal,processor_model,resolution,screen_type,size,usable_surface,weight,aspect_ratio
Oppo,Oppo R9,167,//cdn-files.kimovil.com/phone_front/0001/09/thumb_8553_phone_front_x_small.jpeg,On Sale,5.3,3.6,6.6,6,5,5.1,0,4x2.0Ghz ARM Cortex,401 ppi Very high density,5.5,MediaTek Helio P10 (MT6755),1080 x 1920 px,Amoled,74.3 mm  151.8 mm  6.6 mm,74%,145 g,16:09
Oppo,Oppo R9 Plus,208,//cdn-files.kimovil.com/phone_front/0001/09/thumb_8553_phone_front_x_small.jpeg,On Sale,5.9,6.7,6.6,5.5,5.4,5.1,0,4x 1.8 GHz ARM Cortex,367 ppi High Density,6,Qualcomm Snapdragon 652 MSM8976,1080 x 1920 px,Amoled,80.8 mm  163.1 mm  7.4 mm,75%,185 g,16:09
Oppo,Oppo A37,135,//cdn-files.kimovil.com/phone_front/0001/48/thumb_47729_phone_front_x_small.jpeg,On Sale,4.3,3.3,3.9,4.6,4.1,5.5,0,4x1.5 GHz ARM Cortex,294 ppi Medium Density,5,MediaTek MT6750,720 x 1280 px,LCD IPS,71.0 mm  143.1 mm  7.7 mm,67%,140 g,16:09
Oppo,Oppo A59S,167,//cdn-files.kimovil.com/phone_front/0001/44/thumb_43751_phone_front_x_small.jpeg,On Sale,4.8,4.5,4.7,5.7,4.6,4.7,0,4x1.5 GHz ARM Cortex,267 ppi Medium Density,5.5,MediaTek MT6750,720 x 1280 px,LCD IPS,76.0 mm  154.5 mm  7.4 mm,71%,160 g,16:09
Oppo,Oppo R9s Plus,276,//cdn-files.kimovil.com/phone_front/0001/42/thumb_41129_phone_front_x_small.jpeg,On Sale,6.4,6.7,7.4,4.8,6.4,6.9,0,4x 1.95 GHz ARM Cortex,367 ppi High Density,6,Qualcomm Snapdragon 653 MSM8976 Pro,1080 x 1920 px,Amoled,80.8 mm  163.0 mm  7.5 mm,75%,185 g,16:09
Oppo,Oppo R9s,180,//cdn-files.kimovil.com/phone_front/0001/42/thumb_41129_phone_front_x_small.jpeg,On Sale,6,4.7,7.4,5.5,5.5,7,0,ARM Cortex,401 ppi Very high density,5.5,Qualcomm Snapdragon 625 MSM8953,1080 x 1920 px,Amoled,76.0 mm  150.0 mm  6.6 mm,73%,145 g,16:09
Oppo,Oppo A57,135,//cdn-files.kimovil.com/phone_front/0001/86/thumb_85518_phone_front_x_small.jpeg,On Sale,4.8,3.9,5.3,5.2,4.9,4.9,0,8x1.4GHz ARM Cortex A53,282 ppi Medium Density,5.2,Qualcomm Snapdragon 435 MSM8940,720 x 1280 px,LCD IPS,72.9 mm  149.1 mm  7.7 mm,68%,147 g,16:09
Oppo,Oppo A77,208,//cdn-files.kimovil.com/phone_front/0001/71/thumb_70046_phone_front_x_small.jpeg,On Sale,5.3,5,4.5,6.2,5.1,5.9,0,4x 1.5 GHz ARM,401 ppi Very high density,5.5,MediaTek MT6750T,1080 x 1920 px,LCD IPS,75.2 mm  153.3 mm  7.3 mm,72%,153 g,16:09
Oppo,Oppo R11 Plus,248,//cdn-files.kimovil.com/phone_front/0001/72/thumb_71415_phone_front_x_small.jpeg,On Sale,6.1,6.5,5.5,4.7,6.8,6.9,0,4x Kryo 260 2.2 Ghz,367 ppi High Density,6,Qualcomm Snapdragon 660 MSM8976 Plus,1080 x 1920 px,LTPS LCD,81.5 mm  165.8 mm  7.8 mm,73%,188 g,16:09
Oppo,Oppo R11,185,//cdn-files.kimovil.com/phone_front/0001/73/thumb_72595_phone_front_x_small.jpeg,On Sale,5.7,4,5.5,5.3,6.7,6.9,0,4x Kryo 260 2.2 Ghz,367 ppi High Density,5.5,Qualcomm Snapdragon 660 MSM8976 Plus,1080 x 1920 px,Amoled,76.0 mm  150.0 mm  6.8 mm,73%,150 g,16:09
Oppo,Oppo R11s Plus,311,//cdn-files.kimovil.com/phone_front/0002/01/thumb_100316_phone_front_x_small.jpeg,On Sale,7,6.7,7.9,6.7,6.9,6.9,0,4x Kryo 260 2.2 Ghz,376 ppi High Density,6.43,Qualcomm Snapdragon 660 MSM8976 Plus,1080 x 2160 px,Amoled,80.2 mm  164.8 mm  7.3 mm,80%,182 g,18:09
Oppo,Oppo R11s,230,//cdn-files.kimovil.com/phone_front/0002/01/thumb_100270_phone_front_x_small.jpeg,On Sale,6.7,5.3,7.9,6.6,6.8,6.7,0,4x Kryo 260 2.2 Ghz,402 ppi Very high density,6.01,Qualcomm Snapdragon 660 MSM8976 Plus,1080 x 2160 px,Amoled,75.5 mm  155.1 mm  7.1 mm,79%,153 g,18:09
Oppo,Oppo A79,219,//cdn-files.kimovil.com/phone_front/0002/31/thumb_130763_phone_front_x_small.jpeg,On Sale,5.5,4.2,5.5,5.8,6,6.2,0,4x 2.5 GHz ARM Cortex,402 ppi Very high density,6.01,MediaTek Helio P23 (MT6763T),1080 x 2160 px,Amoled,76.0 mm  157.3 mm  7.0 mm,78%,140 g,18:09
Oppo,Oppo R15,323,//cdn-files.kimovil.com/phone_front/0002/32/thumb_131795_phone_front_x_small.jpeg,On Sale,6.9,5.9,7.4,7.5,7,6.9,0,4x 2.00GHz ARM Cortex A73 + 4x 2.00GHz ARM Cortex A53,402 ppi Very high density,6.28,MediaTek Helio P60 MT6771,1080 x 2280 px,Oled,75.2 mm  155.1 mm  7.4 mm,84%,175 g,19:09
Oppo,Oppo A1,191,//cdn-files.kimovil.com/phone_front/0002/36/thumb_135359_phone_front_x_small.jpeg,On Sale,5.3,5.2,4.1,5.1,5.8,6.2,0,4x 2.5 GHz ARM Cortex,282 ppi Medium Density,5.7,MediaTek Helio P23 (MT6763T),720 x 1440 px,LCD IPS,73.1 mm  150.5 mm  7.7 mm,76%,143 g,18:09
Oppo,Oppo Find X,660,//cdn-files.kimovil.com/phone_front/0002/47/thumb_146066_phone_front_x_small.jpeg,On Sale,7.7,6.3,8.2,7.9,8.1,7.8,0,4x2.8 GHz Kryo 385 + 4x1.8 GHz Kryo 385,403 ppi Very high density,6.42,Qualcomm Snapdragon 845,1080 x 2340 px,Amoled,74.2 mm  156.7 mm  9.4 mm,87%,186 g,19:09
Oppo,Oppo A5,215,//cdn-files.kimovil.com/phone_front/0002/48/thumb_147300_phone_front_x_small.jpeg,On Sale,5.9,7.7,4.9,6.2,6.3,4.6,0,ARM Cortex,271 ppi Medium Density,6.2,Qualcomm Snapdragon 450,720 x 1520 px,LCD IPS,75.6 mm  156.2 mm  8.2 mm,81%,168 g,19:09
Oppo,Oppo R17,427,//cdn-files.kimovil.com/phone_front/0002/54/thumb_153172_phone_front_x_small.jpeg,On Sale,6.9,6.1,6.2,7.9,7.5,6.7,0,2x Kryo 360 2Ghz,403 ppi Very high density,6.4,Qualcomm Snapdragon 670,1080 x 2340 px,Amoled,74.9 mm  157.5 mm  7.5 mm,85%,182 g,19:09
