average_rating,battery_rating,brand,camera_rating,connectivity_rating,design_rating,performance_rating,phone_image,phone_name,user_rating
4.7,6.6,Huawei,4.4,3.7,4.1,4.7,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221023_devicerender_small.jpeg,Huawei Y7,0
4.5,4.5,Huawei,4.3,4.4,4.5,4.6,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221008_devicerender_small.jpeg,Huawei Honor 6A,0
4.2,4.5,Huawei,3.0,4.9,4.0,4.7,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221220_devicerender_small.jpeg,Huawei Y6 Pro 2017,0
4.4,4.9,Huawei,4.6,4.5,3.6,4.6,//cdn-files.kimovil.com/phone_front/0001/82/thumb_81648_phone_front_medium.jpeg,Huawei Nova Young,0
5.5,5.6,Huawei,5.6,4.8,5.4,6.2,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220996_devicerender_small.jpeg,Huawei Nova 2 Plus,0
5.4,4.3,Huawei,6.7,5.0,5.2,5.9,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220999_devicerender_small.jpeg,Huawei Nova 2,0
5.1,6.6,Huawei,4.3,5.4,4.2,5.1,//cdn-files.kimovil.com/phone_front/0001/79/thumb_78117_phone_front_medium.jpeg,Huawei Y7 Prime,0
6.1,5.3,Huawei,6.4,6.8,5.0,7.2,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221039_devicerender_small.jpeg,Huawei Honor 9,0
2.8,2.8,Huawei,3.9,2.0,2.1,3.2,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221012_devicerender_small.jpeg,Huawei Y3 2017,0
4.6,4.8,Huawei,4.6,4.7,4.6,4.2,//cdn-files.kimovil.com/phone_front/0002/49/thumb_148574_phone_front_medium.jpeg,Huawei Honor Holly 3+,0
4.7,5.1,Huawei,4.5,4.7,4.8,4.2,//cdn-files.kimovil.com/phone_front/0001/78/thumb_77340_phone_front_medium.jpeg,Huawei Enjoy 7,0
4.3,4.9,Huawei,4.6,4.4,3.3,4.3,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220978_devicerender_small.jpeg,Huawei Y6 2017,0
4.4,5.1,Huawei,3.0,5.1,4.4,4.2,//cdn-files.kimovil.com/phone_front/0002/01/thumb_100324_phone_front_medium.jpeg,Huawei P9 Lite mini,0
4.3,5.0,Huawei,4.5,4.2,3.3,4.3,//cdn-files.kimovil.com/phone_front/0001/87/thumb_86291_phone_front_medium.jpeg,Huawei Honor 6 Play,0
5.5,5.5,Huawei,6.0,4.6,5.3,6.1,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221260_devicerender_small.jpeg,Huawei nova 2i,0
5.9,5.5,Huawei,6.4,6.5,5.3,5.9,//cdn-files.kimovil.com/phone_front/0001/94/thumb_93471_phone_front_medium.jpeg,Huawei Maimang 6,0
4.9,6.6,Huawei,4.4,4.2,4.1,5.1,//cdn-files.kimovil.com/phone_front/0002/49/thumb_148583_phone_front_medium.jpeg,Huawei Honor Holly 4 Plus,0
5.7,5.5,Huawei,6.4,4.7,5.7,6.3,//cdn-files.kimovil.com/phone_front/0001/98/thumb_97001_phone_front_medium.jpeg,Huawei Mate 10 Lite,0
7.6,7.1,Huawei,7.7,8.2,7.3,7.7,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221238_devicerender_small.jpeg,Huawei Mate 10 Pro,0
7.7,7.0,Huawei,7.7,8.4,7.7,7.7,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221235_devicerender_small.jpeg,Huawei Mate 10,0
5.4,5.5,Huawei,5.3,4.8,5.7,5.9,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221305_devicerender_small.jpeg,Huawei Honor 7x,0
4.5,4.4,Huawei,4.5,4.5,4.3,5.0,//cdn-files.kimovil.com/phone_front/0002/49/thumb_148559_phone_front_medium.jpeg,Huawei Honor Holly 4,0
4.6,4.3,Huawei,4.4,4.5,4.7,5.1,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221221_devicerender_small.jpeg,Huawei Honor 6C Pro,0
6.6,6.4,Huawei,5.8,6.9,6.0,7.7,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221306_devicerender_small.jpeg,Huawei Honor V10,0
5.4,4.3,Huawei,5.9,5.2,5.8,5.8,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221298_devicerender_small.jpeg,Huawei Honor 9 Lite,0
5.1,4.3,Huawei,4.4,5.3,5.6,5.8,//cdn-files.kimovil.com/phone_front/0002/16/thumb_115719_phone_front_medium.jpeg,Huawei Enjoy 7s,0
6.4,5.5,Huawei,6.2,6.9,6.1,7.3,//cdn-files.kimovil.com/phone_front/0002/15/thumb_114355_phone_front_medium.jpeg,Huawei Nova 2s,0
5.3,4.3,Huawei,5.4,4.9,5.8,6.0,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221369_devicerender_small.jpeg,Huawei P Smart,0
